MSA Code,MSA Title,State FIPS Code,State Name,2000 PUMA Code,MSA 2010 Population,2000 PUMA Est. 2010 Population*,Intersection Est. 2010 Population*,Percent MSA Population,Percent PUMA Population
16980,"Chicago-Naperville-Elgin, IL-IN-WI",18,Indiana,201,"9,461,105","115,525","115,525",1.22,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",18,Indiana,202,"9,461,105","170,048","170,048",1.8,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",18,Indiana,203,"9,461,105","130,138","130,138",1.38,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",18,Indiana,300,"9,461,105","164,343","164,343",1.74,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",18,Indiana,1300,"9,461,105","105,323","47,722",0.5,45.31
16980,"Chicago-Naperville-Elgin, IL-IN-WI",55,Wisconsin,1800,"9,461,105","166,426","166,426",1.76,100
17020,"Chico, CA",6,California,600,"220,000","220,006","220,000",100,100
17140,"Cincinnati, OH-KY-IN",18,Indiana,3100,"2,114,580","126,527","7,516",0.36,5.94
17140,"Cincinnati, OH-KY-IN",18,Indiana,3200,"2,114,580","128,034","56,175",2.66,43.88
17140,"Cincinnati, OH-KY-IN",21,Kentucky,2100,"2,114,580","138,131","8,488",0.4,6.14
17140,"Cincinnati, OH-KY-IN",21,Kentucky,2300,"2,114,580","105,213","105,213",4.98,100
17140,"Cincinnati, OH-KY-IN",21,Kentucky,2400,"2,114,580","159,720","159,720",7.55,100
17140,"Cincinnati, OH-KY-IN",21,Kentucky,2500,"2,114,580","173,714","152,062",7.19,87.54
17140,"Cincinnati, OH-KY-IN",39,Ohio,4200,"2,114,580","212,693","212,693",10.06,100
17140,"Cincinnati, OH-KY-IN",39,Ohio,4301,"2,114,580","155,533","155,523",7.35,99.99
17140,"Cincinnati, OH-KY-IN",39,Ohio,4302,"2,114,580","212,607","212,607",10.05,100
17140,"Cincinnati, OH-KY-IN",39,Ohio,4401,"2,114,580","111,988","111,988",5.3,100
17140,"Cincinnati, OH-KY-IN",39,Ohio,4402,"2,114,580","147,306","147,306",6.97,100
17140,"Cincinnati, OH-KY-IN",39,Ohio,4403,"2,114,580","135,626","135,626",6.41,100
17140,"Cincinnati, OH-KY-IN",39,Ohio,4404,"2,114,580","110,511","110,511",5.23,100
17140,"Cincinnati, OH-KY-IN",39,Ohio,4501,"2,114,580","108,264","108,264",5.12,100
17140,"Cincinnati, OH-KY-IN",39,Ohio,4502,"2,114,580","96,058","96,058",4.54,100
17140,"Cincinnati, OH-KY-IN",39,Ohio,4503,"2,114,580","92,621","92,621",4.38,100
17140,"Cincinnati, OH-KY-IN",39,Ohio,4601,"2,114,580","115,378","115,378",5.46,100
17140,"Cincinnati, OH-KY-IN",39,Ohio,4602,"2,114,580","126,831","126,831",6,100
17300,"Clarksville, TN-KY",21,Kentucky,300,"260,625","109,068","88,294",33.88,80.95
17300,"Clarksville, TN-KY",47,Tennessee,300,"260,625","172,331","172,331",66.12,100
17420,"Cleveland, TN",47,Tennessee,1700,"115,788","168,054","115,788",100,68.9
17460,"Cleveland-Elyria, OH",39,Ohio,501,"2,077,240","133,694","133,694",6.44,100
17460,"Cleveland-Elyria, OH",39,Ohio,502,"2,077,240","167,662","167,662",8.07,100
17460,"Cleveland-Elyria, OH",39,Ohio,601,"2,077,240","125,090","125,090",6.02,100
17460,"Cleveland-Elyria, OH",39,Ohio,602,"2,077,240","121,966","121,966",5.87,100
17460,"Cleveland-Elyria, OH",39,Ohio,603,"2,077,240","95,992","95,992",4.62,100
17460,"Cleveland-Elyria, OH",39,Ohio,604,"2,077,240","113,698","113,698",5.47,100
17460,"Cleveland-Elyria, OH",39,Ohio,605,"2,077,240","131,471","131,471",6.33,100
17460,"Cleveland-Elyria, OH",39,Ohio,606,"2,077,240","95,891","95,891",4.62,100
17460,"Cleveland-Elyria, OH",39,Ohio,607,"2,077,240","106,407","106,407",5.12,100
17460,"Cleveland-Elyria, OH",39,Ohio,608,"2,077,240","99,722","99,722",4.8,100
17460,"Cleveland-Elyria, OH",39,Ohio,609,"2,077,240","99,526","99,526",4.79,100
17460,"Cleveland-Elyria, OH",39,Ohio,610,"2,077,240","92,435","92,435",4.45,100
17460,"Cleveland-Elyria, OH",39,Ohio,611,"2,077,240","95,300","95,300",4.59,100
17460,"Cleveland-Elyria, OH",39,Ohio,612,"2,077,240","102,624","102,624",4.94,100
17460,"Cleveland-Elyria, OH",39,Ohio,701,"2,077,240","100,417","100,417",4.83,100
17460,"Cleveland-Elyria, OH",39,Ohio,702,"2,077,240","108,159","108,159",5.21,100
17460,"Cleveland-Elyria, OH",39,Ohio,703,"2,077,240","114,854","114,854",5.53,100
17460,"Cleveland-Elyria, OH",39,Ohio,1300,"2,077,240","172,332","172,332",8.3,100
17660,"Coeur d'Alene, ID",16,Idaho,100,"138,494","212,393","138,494",100,65.21
17780,"College Station-Bryan, TX",48,Texas,3900,"228,660","153,009","33,809",14.79,22.1
17780,"College Station-Bryan, TX",48,Texas,4000,"228,660","194,851","194,851",85.21,100
17820,"Colorado Springs, CO",8,Colorado,901,"645,613","155,085","155,085",24.02,100
17820,"Colorado Springs, CO",8,Colorado,902,"645,613","100,341","100,341",15.54,100
17820,"Colorado Springs, CO",8,Colorado,903,"645,613","99,670","99,670",15.44,100
17820,"Colorado Springs, CO",8,Colorado,904,"645,613","157,646","157,646",24.42,100
17820,"Colorado Springs, CO",8,Colorado,905,"645,613","109,521","109,521",16.96,100
17820,"Colorado Springs, CO",8,Colorado,1000,"645,613","108,444","23,350",3.62,21.53
17860,"Columbia, MO",29,Missouri,600,"162,642","162,642","162,642",100,100
17900,"Columbia, SC",45,South Carolina,600,"767,598","128,001","23,956",3.12,18.72
17900,"Columbia, SC",45,South Carolina,800,"767,598","152,184","19,888",2.59,13.07
17900,"Columbia, SC",45,South Carolina,1001,"767,598","109,619","109,619",14.28,100
17900,"Columbia, SC",45,South Carolina,1002,"767,598","152,331","152,331",19.85,100
17900,"Columbia, SC",45,South Carolina,1100,"767,598","120,751","120,751",15.73,100
17900,"Columbia, SC",45,South Carolina,1200,"767,598","264,181","264,181",34.42,100
17900,"Columbia, SC",45,South Carolina,1300,"767,598","204,303","61,697",8.04,30.2
17900,"Columbia, SC",45,South Carolina,1800,"767,598","177,793","15,175",1.98,8.54
17980,"Columbus, GA-AL",1,Alabama,1700,"294,865","140,184",2,0,0
17980,"Columbus, GA-AL",1,Alabama,1800,"294,865","197,917","52,945",17.96,26.75
17980,"Columbus, GA-AL",13,Georgia,2900,"294,865","139,759","32,024",10.86,22.91
17980,"Columbus, GA-AL",13,Georgia,3000,"294,865","189,885","189,885",64.4,100
17980,"Columbus, GA-AL",13,Georgia,3100,"294,865","122,640","20,009",6.79,16.32
18020,"Columbus, IN",18,Indiana,3000,"76,794","134,412","76,794",100,57.13
18140,"Columbus, OH",39,Ohio,1900,"1,901,974","145,112","34,827",1.83,24
18140,"Columbus, OH",39,Ohio,2700,"1,901,974","174,214","174,214",9.16,100
18140,"Columbus, OH",39,Ohio,2800,"1,901,974","151,433","151,433",7.96,100
18140,"Columbus, OH",39,Ohio,3101,"1,901,974","119,671","119,671",6.29,100
18140,"Columbus, OH",39,Ohio,3102,"1,901,974","151,183","151,183",7.95,100
18140,"Columbus, OH",39,Ohio,3103,"1,901,974","107,127","107,127",5.63,100
18140,"Columbus, OH",39,Ohio,3104,"1,901,974","145,088","145,088",7.63,100
18140,"Columbus, OH",39,Ohio,3105,"1,901,974","136,233","136,233",7.16,100
18140,"Columbus, OH",39,Ohio,3106,"1,901,974","110,037","110,037",5.79,100
18140,"Columbus, OH",39,Ohio,3107,"1,901,974","108,274","108,274",5.69,100
18140,"Columbus, OH",39,Ohio,3108,"1,901,974","153,983","153,983",8.1,100
18140,"Columbus, OH",39,Ohio,3109,"1,901,974","131,818","131,818",6.93,100
18140,"Columbus, OH",39,Ohio,3200,"1,901,974","166,492","166,492",8.75,100
18140,"Columbus, OH",39,Ohio,3300,"1,901,974","146,156","146,156",7.68,100
18140,"Columbus, OH",39,Ohio,3400,"1,901,974","122,132","36,058",1.9,29.52
18140,"Columbus, OH",39,Ohio,3600,"1,901,974","131,342","29,380",1.54,22.37
18580,"Corpus Christi, TX",48,Texas,6100,"428,185","127,260","23,158",5.41,18.2
18580,"Corpus Christi, TX",48,Texas,6301,"428,185","121,360","121,360",28.34,100
18580,"Corpus Christi, TX",48,Texas,6302,"428,185","183,401","183,401",42.83,100
18580,"Corpus Christi, TX",48,Texas,6400,"428,185","100,267","100,267",23.42,100
18700,"Corvallis, OR",41,Oregon,600,"85,579","202,247","85,575",100,42.31
18700,"Corvallis, OR",41,Oregon,1200,"85,579","174,600",4,0,0
18880,"Crestview-Fort Walton Beach-Destin, FL",12,Florida,300,"235,865","180,822","180,822",76.66,100
18880,"Crestview-Fort Walton Beach-Destin, FL",12,Florida,400,"235,865","149,612","55,043",23.34,36.79
19060,"Cumberland, MD-WV",24,Maryland,100,"103,299","105,184","75,087",72.69,71.39
19060,"Cumberland, MD-WV",54,West Virginia,400,"103,299","261,041","28,212",27.31,10.81
19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,600,"6,426,214","154,232","59,151",0.92,38.35
19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,900,"6,426,214","120,044","86,129",1.34,71.75
19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,1800,"6,426,214","137,074",84,0,0.06
19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,2000,"6,426,214","181,603","181,603",2.83,100
19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,2101,"6,426,214","265,358","265,358",4.13,100
