79840011028570010009701101833             5805002413125            125       47Pensacola town                                                                                                                                                             
79940011028570010009701101833             5805002413125040700      125       47Census Tract 407 (part)                                                                                                                                                    
79840011028570010009701101833             5917502409064            421      206Pin Oak Acres CDP                                                                                                                                                          
79940011028570010009701101833             5917502409064040400      421      206Census Tract 404 (part)                                                                                                                                                    
79840011028570010009701101833             6100002411500           9539     4286Pryor Creek city                                                                                                                                                           
79940011028570010009701101833             6100002411500040100     4788     2069Census Tract 401 (part)                                                                                                                                                    
79940011028570010009701101833             6100002411500040200     4572     2131Census Tract 402 (part)                                                                                                                                                    
79940011028570010009701101833             6100002411500040300      179       86Census Tract 403 (part)                                                                                                                                                    
79840011028570010009701101833             6102002409110            175      109Pump Back CDP                                                                                                                                                              
79940011028570010009701101833             6102002409110040502       15       13Census Tract 405.02 (part)                                                                                                                                                 
79940011028570010009701101833             6102002409110040600      160       96Census Tract 406 (part)                                                                                                                                                    
79840011028570010009701101833             6395002584391            285      122Rose CDP                                                                                                                                                                   
79940011028570010009701101833             6395002584391040501      155       75Census Tract 405.01 (part)                                                                                                                                                 
79940011028570010009701101833             6395002584391040502      130       47Census Tract 405.02 (part)                                                                                                                                                 
79840011028570010009701101833             6495002413250           1396      631Salina town                                                                                                                                                                
79940011028570010009701101833             6495002413250040600     1396      631Census Tract 406 (part)                                                                                                                                                    
79840011028570010009701101833             6506202409246            137       57Sams Corner CDP                                                                                                                                                            
79940011028570010009701101833             6506202409246040502      137       57Census Tract 405.02 (part)                                                                                                                                                 
79840011028570010009701101833             6827502408751            257      118Snake Creek CDP                                                                                                                                                            
79940011028570010009701101833             6827502408751040501      257      118Census Tract 405.01 (part)                                                                                                                                                 
79840011028570010009701101833             6905002413314            437      276Spavinaw town                                                                                                                                                              
79940011028570010009701101833             6905002413314040700      437      276Census Tract 407 (part)                                                                                                                                                    
79840011028570010009701101833             6940002413317            322      132Sportsmen Acres town                                                                                                                                                       
79940011028570010009701101833             6940002413317040400      322      132Census Tract 404 (part)                                                                                                                                                    
79840011028570010009701101833             7075002413339             89       55Strang town                                                                                                                                                                
79940011028570010009701101833             7075002413339040700       89       55Census Tract 407 (part)                                                                                                                                                    
79840011028570010009701101833             8097502409591             75       37Wickliffe CDP                                                                                                                                                              
79940011028570010009701101833             8097502409591040600       75       37Census Tract 406 (part)                                                                                                                                                    
79840011028570010009701101833             9999999999999          20963     9818Remainder of Mayes County                                                                                                                                                  
79940011028570010009701101833             9999999999999040100       21        8Census Tract 401 (part)                                                                                                                                                    
79940011028570010009701101833             9999999999999040200      158       70Census Tract 402 (part)                                                                                                                                                    
79940011028570010009701101833             9999999999999040300     3517     1482Census Tract 403 (part)                                                                                                                                                    
79940011028570010009701101833             9999999999999040400     2702     1145Census Tract 404 (part)                                                                                                                                                    
79940011028570010009701101833             9999999999999040501     2115     1021Census Tract 405.01 (part)                                                                                                                                                 
79940011028570010009701101833             9999999999999040502     2511     1217Census Tract 405.02 (part)                                                                                                                                                 
79940011028570010009701101833             9999999999999040600     2336     1210Census Tract 406 (part)                                                                                                                                                    
79940011028570010009701101833             9999999999999040700     2046     1169Census Tract 407 (part)                                                                                                                                                    
79940011028570010009701101833             9999999999999040800     5557     2496Census Tract 408 (part)                                                                                                                                                    
79640011028570010010501101840                                    10536     4828Nowata County                                                                                                                                                              
79840011028570010010501101840             1985002412417            417      188Delaware town                                                                                                                                                              
79940011028570010010501101840             1985002412417172200      417      188Census Tract 1722 (part)                                                                                                                                                   
79840011028570010010501101840             4230002412889            293      134Lenapah town                                                                                                                                                               
79940011028570010010501101840             4230002412889172200      293      134Census Tract 1722 (part)                                                                                                                                                   
