79902017855330020012201419972             6328002419185001200      177      108Census Tract 12 (part)                                                                                                                                                     
79802017855330020012201419972             6424002419191             78       50Primrose CDP                                                                                                                                                               
79902017855330020012201419972             6424002419191000300       78       50Census Tract 3 (part)                                                                                                                                                      
79802017855330020012201419972             6534502419200           2022     1038Ridgeway CDP                                                                                                                                                               
79902017855330020012201419972             6534502419200000500     2022     1038Census Tract 5 (part)                                                                                                                                                      
79802017855330020012201419972             6651002419204            980      300Salamatof CDP                                                                                                                                                              
79902017855330020012201419972             6651002419204000200      980      300Census Tract 2 (part)                                                                                                                                                      
79802017855330020012201419972             6834002419467            255      218Seldovia city                                                                                                                                                              
79902017855330020012201419972             6834002419467001200      255      218Census Tract 12 (part)                                                                                                                                                     
79802017855330020012201419972             6837002419213            165      196Seldovia Village CDP                                                                                                                                                       
79902017855330020012201419972             6837002419213001200      165      196Census Tract 12 (part)                                                                                                                                                     
79802017855330020012201419972             6856002419468           2693     1124Seward city                                                                                                                                                                
79902017855330020012201419972             6856002419468001300     2693     1124Census Tract 13 (part)                                                                                                                                                     
79802017855330020012201419972             7164002418857           4163     1968Soldotna city                                                                                                                                                              
79902017855330020012201419972             7164002418857000500     4163     1968Census Tract 5 (part)                                                                                                                                                      
79802017855330020012201419972             7307002419233           5617     3347Sterling CDP                                                                                                                                                               
79902017855330020012201419972             7307002419233000400     5617     3347Census Tract 4 (part)                                                                                                                                                      
79802017855330020012201419972             7395002419238             18       27Sunrise CDP                                                                                                                                                                
79902017855330020012201419972             7395002419238000300       18       27Census Tract 3 (part)                                                                                                                                                      
79802017855330020012201419972             7989002419273            171      144Tyonek CDP                                                                                                                                                                 
79902017855330020012201419972             7989002419273000100      171      144Census Tract 1 (part)                                                                                                                                                      
79802017855330020012201419972             9999999999999            517      695Remainder of Kenai Peninsula Borough                                                                                                                                       
79902017855330020012201419972             9999999999999000100      182      170Census Tract 1 (part)                                                                                                                                                      
79902017855330020012201419972             9999999999999000200      147       35Census Tract 2 (part)                                                                                                                                                      
79902017855330020012201419972             9999999999999000300       25       31Census Tract 3 (part)                                                                                                                                                      
79902017855330020012201419972             9999999999999000400        3       46Census Tract 4 (part)                                                                                                                                                      
79902017855330020012201419972             9999999999999000500       78       84Census Tract 5 (part)                                                                                                                                                      
79902017855330020012201419972             9999999999999000600        0        0Census Tract 6 (part)                                                                                                                                                      
79902017855330020012201419972             9999999999999000700        0        0Census Tract 7 (part)                                                                                                                                                      
79902017855330020012201419972             9999999999999000800        0        0Census Tract 8 (part)                                                                                                                                                      
79902017855330020012201419972             9999999999999000900        0        0Census Tract 9 (part)                                                                                                                                                      
79902017855330020012201419972             9999999999999001000        0        0Census Tract 10 (part)                                                                                                                                                     
79902017855330020012201419972             9999999999999001100        0        0Census Tract 11 (part)                                                                                                                                                     
79902017855330020012201419972             9999999999999001200       39      275Census Tract 12 (part)                                                                                                                                                     
79902017855330020012201419972             9999999999999001300       43       54Census Tract 13 (part)                                                                                                                                                     
79602017855330020017001419976                                    88995    41329Matanuska-Susitna Borough                                                                                                                                                  
79802017855330020017001419976             0707002418792           3350     2780Big Lake CDP                                                                                                                                                               
79902017855330020017001419976             0707002418792000501     1502     1153Census Tract 5.01 (part)                                                                                                                                                   
79902017855330020017001419976             0707002418792000502     1848     1626Census Tract 5.02 (part)                                                                                                                                                   
79902017855330020017001419976             0707002418792000603        0        1Census Tract 6.03 (part)                                                                                                                                                   
79802017855330020017001419976             0965702418798            855      375Buffalo Soapstone CDP                                                                                                                                                      
79902017855330020017001419976             0965702418798000300      855      375Census Tract 3 (part)                                                                                                                                                      
79802017855330020017001419976             0971002418799           3246     1304Butte CDP                                                                                                                                                                  
79902017855330020017001419976             0971002418799001300     3246     1304Census Tract 13 (part)                                                                                                                                                     
79802017855330020017001419976             1235002418806             34      209Chase CDP                                                                                                                                                                  
79902017855330020017001419976             1235002418806000102       34      209Census Tract 1.02 (part)                                                                                                                                                   
79802017855330020017001419976             1334002418817            272      251Chickaloon CDP                                                                                                                                                             
79902017855330020017001419976             1334002418817000200      272      251Census Tract 2 (part)                                                                                                                                                      
79802017855330020017001419976             2372002582711             29      101Eureka Roadhouse CDP                                                                                                                                                       
79902017855330020017001419976             2372002582711000200       29      101Census Tract 2 (part)                                                                                                                                                      
79802017855330020017001419976             2500002418580           1028      394Farm Loop CDP                                                                                                                                                              
79902017855330020017001419976             2500002418580000300     1003      377Census Tract 3 (part)                                                                                                                                                      
79902017855330020017001419976             2500002418580001201       25       17Census Tract 12.01 (part)                                                                                                                                                  
79802017855330020017001419976             2555002418582           4679     1734Fishhook CDP                                                                                                                                                               
79902017855330020017001419976             2555002418582000300     3534     1322Census Tract 3 (part)                                                                                                                                                      
79902017855330020017001419976             2555002418582000706       17        9Census Tract 7.06 (part)                                                                                                                                                   
79902017855330020017001419976             2555002418582001001     1000      354Census Tract 10.01 (part)                                                                                                                                                  
79902017855330020017001419976             2555002418582001100      128       49Census Tract 11 (part)                                                                                                                                                     
79802017855330020017001419976             2820002418597           5552     1962Gateway CDP                                                                                                                                                                
79902017855330020017001419976             2820002418597000300       91       29Census Tract 3 (part)                                                                                                                                                      
79902017855330020017001419976             2820002418597000601      123       47Census Tract 6.01 (part)                                                                                                                                                   
79902017855330020017001419976             2820002418597001004      143       55Census Tract 10.04 (part)                                                                                                                                                  
79902017855330020017001419976             2820002418597001100     5035     1768Census Tract 11 (part)                                                                                                                                                     
