79905000680850010000700069896             9999999999999020606       64       32Census Tract 206.06 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999020701      163       72Census Tract 207.01 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999020703       80       31Census Tract 207.03 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999020704     1514      646Census Tract 207.04 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999020801        0        0Census Tract 208.01 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999020803        0        0Census Tract 208.03 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999020805       72       62Census Tract 208.05 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999020806     1163      415Census Tract 208.06 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999020901       60       25Census Tract 209.01 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999020902     2936     1180Census Tract 209.02 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999021001     3214     1391Census Tract 210.01 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999021002     3385     1400Census Tract 210.02 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999021101      247       98Census Tract 211.01 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999021102      655      232Census Tract 211.02 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999021201      185       71Census Tract 212.01 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999021202       74       29Census Tract 212.02 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999021301     4751     1901Census Tract 213.01 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999021304      135       57Census Tract 213.04 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999021305     1723      755Census Tract 213.05 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999021306       51       22Census Tract 213.06 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999021310      210       85Census Tract 213.10 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999021311     1055      382Census Tract 213.11 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999021404     2956     1226Census Tract 214.04 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999021405     1474     1018Census Tract 214.05 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999021406      467      203Census Tract 214.06 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999021407     3137     1521Census Tract 214.07 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999021408     2263     1036Census Tract 214.08 (part)                                                                                                                                                 
79905000680850010000700069896             9999999999999021409     2468     1579Census Tract 214.09                                                                                                                                                        
795050006808500200                                              203065    87808Washington County PUMA                                                                                                                                                     
79605000680850020014300069905                                   203065    87808Washington County                                                                                                                                                          
79805000680850020014300069905             2119002403555           2648     1073Elkins city                                                                                                                                                                
