79906017797780010400101675839             5300002411292407700     4109     1826Census Tract 4077                                                                                                                                                          
79906017797780010400101675839             5300002411292408400     3323     1275Census Tract 4084                                                                                                                                                          
79906017797780010400101675839             5300002411292408500     4972     1666Census Tract 4085                                                                                                                                                          
79906017797780010400101675839             5300002411292408600     5492     1897Census Tract 4086                                                                                                                                                          
79906017797780010400101675839             5300002411292408700     7207     2512Census Tract 4087                                                                                                                                                          
79906017797780010400101675839             5300002411292408800     5547     1937Census Tract 4088                                                                                                                                                          
79906017797780010400101675839             5300002411292408900     3414     1074Census Tract 4089                                                                                                                                                          
79906017797780010400101675839             5300002411292409100     2255      664Census Tract 4091                                                                                                                                                          
79906017797780010400101675839             5300002411292409200     3152      972Census Tract 4092                                                                                                                                                          
79906017797780010400101675839             5300002411292409300     5220     1611Census Tract 4093 (part)                                                                                                                                                   
79906017797780010400101675839             5300002411292409400     4306     1260Census Tract 4094                                                                                                                                                          
79906017797780010400101675839             5300002411292409500     3122     1007Census Tract 4095                                                                                                                                                          
79906017797780010400101675839             5300002411292409600     5063     1561Census Tract 4096                                                                                                                                                          
79906017797780010400101675839             5300002411292409700     4696     1697Census Tract 4097                                                                                                                                                          
79906017797780010400101675839             5300002411292410100     2406     1003Census Tract 4101                                                                                                                                                          
79906017797780010400101675839             5300002411292410200     3062     1179Census Tract 4102                                                                                                                                                          
79906017797780010400101675839             5300002411292410300     3536     1044Census Tract 4103                                                                                                                                                          
79906017797780010400101675839             5300002411292410400     3792     1352Census Tract 4104                                                                                                                                                          
79806017797780010400101675839             6808402411794              9        3San Leandro city (part)                                                                                                                                                    
79906017797780010400101675839             6808402411794409300        9        3Census Tract 4093 (part)                                                                                                                                                   
795060177977800105                                              163534    66307Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities PUMA                                                                                              
79606017797780010500101675839                                   163534    66307Alameda County (part)                                                                                                                                                      
79806017797780010500101675839             0056202409669          73812    32351Alameda city                                                                                                                                                               
79906017797780010500101675839             0056202409669427100     3646     1469Census Tract 4271                                                                                                                                                          
