79921017797860020003300516863             9999999999999920100     1674      807Census Tract 9201 (part)                                                                                                                                                   
79921017797860020003300516863             9999999999999920200     1876      818Census Tract 9202 (part)                                                                                                                                                   
79921017797860020003300516863             9999999999999920300     2704     1345Census Tract 9203 (part)                                                                                                                                                   
79621017797860020005500516874                                     9315     4569Crittenden County                                                                                                                                                          
79821017797860020005500516874             1819002629597            173       80Crayne CDP                                                                                                                                                                 
79921017797860020005500516874             1819002629597930100      173       80Census Tract 9301 (part)                                                                                                                                                   
79821017797860020005500516874             2314002403522             26       28Dycusburg city                                                                                                                                                             
79921017797860020005500516874             2314002403522930400       26       28Census Tract 9304 (part)                                                                                                                                                   
79821017797860020005500516874             5003402405022           3039     1496Marion city                                                                                                                                                                
79921017797860020005500516874             5003402405022930200     3039     1496Census Tract 9302 (part)                                                                                                                                                   
79821017797860020005500516874             7712402629694             88       55Tolu CDP                                                                                                                                                                   
