79945017797990010304501245489             2554002402484002813     2298      750Census Tract 28.13 (part)                                                                                                                                                  
79945017797990010304501245489             2554002402484002814     1190      418Census Tract 28.14 (part)                                                                                                                                                  
79945017797990010304501245489             2554002402484002815     5462     1885Census Tract 28.15                                                                                                                                                         
79945017797990010304501245489             2554002402484002816     5190     1752Census Tract 28.16 (part)                                                                                                                                                  
79845017797990010304501245489             2837502402514           8381     3351Gantt CDP (part)                                                                                                                                                           
79945017797990010304501245489             2837502402514002001     2862     1230Census Tract 20.01                                                                                                                                                         
79945017797990010304501245489             2837502402514002003     4548     1732Census Tract 20.03                                                                                                                                                         
79945017797990010304501245489             2837502402514003500      894      342Census Tract 35 (part)                                                                                                                                                     
79945017797990010304501245489             2837502402514003602       77       47Census Tract 36.02 (part)                                                                                                                                                  
79845017797990010304501245489             2963502402533            240      117Golden Grove CDP (part)                                                                                                                                                    
