79910017797810020000100217271             4170002391267040203        0        0Census Tract 402.03 (part)                                                                                                                                                 
79910017797810020000100217271             4170002391267043202      183       93Census Tract 432.02 (part)                                                                                                                                                 
79810017797810020000100217271             4287002391271            224       97Little Creek town                                                                                                                                                          
79910017797810020000100217271             4287002391271041000      131       54Census Tract 410 (part)                                                                                                                                                    
79910017797810020000100217271             4287002391271043202       93       43Census Tract 432.02 (part)                                                                                                                                                 
79810017797810020000100217271             4443002391282            225       96Magnolia town                                                                                                                                                              
79910017797810020000100217271             4443002391282042202      225       96Census Tract 422.02 (part)                                                                                                                                                 
79810017797810020000100217271             4742002390617           3780     1625Milford city (part)                                                                                                                                                        
79910017797810020000100217271             4742002390617042500     3077     1331Census Tract 425 (part)                                                                                                                                                    
79910017797810020000100217271             4742002390617043202        4        2Census Tract 432.02 (part)                                                                                                                                                 
79910017797810020000100217271             4742002390617043400      699      292Census Tract 434 (part)                                                                                                                                                    
79810017797810020000100217271             6126502389754           3391     1286Rising Sun-Lebanon CDP                                                                                                                                                     
79910017797810020000100217271             6126502389754041702      453      177Census Tract 417.02 (part)                                                                                                                                                 
79910017797810020000100217271             6126502389754042201     2938     1109Census Tract 422.01 (part)                                                                                                                                                 
79810017797810020000100217271             6148002389760           2456      906Riverview CDP                                                                                                                                                              
79910017797810020000100217271             6148002389760042202     2456      906Census Tract 422.02 (part)                                                                                                                                                 
79810017797810020000100217271             6172002389767           1487      622Rodney Village CDP                                                                                                                                                         
79910017797810020000100217271             6172002389767041500     1470      615Census Tract 415 (part)                                                                                                                                                    
79910017797810020000100217271             6172002389767041600       17        7Census Tract 416 (part)                                                                                                                                                    
79810017797810020000100217271             6731002391416           9989     4022Smyrna town (part)                                                                                                                                                         
