79951017798030410204101480111             9999999999999100815     2302      854Census Tract 1008.15 (part)                                                                                                                                                
79951017798030410204101480111             9999999999999100816     4636     1676Census Tract 1008.16                                                                                                                                                       
79951017798030410204101480111             9999999999999100817     3530     1296Census Tract 1008.17                                                                                                                                                       
79951017798030410204101480111             9999999999999100818     3770     1351Census Tract 1008.18                                                                                                                                                       
79951017798030410204101480111             9999999999999100820     2580      879Census Tract 1008.20                                                                                                                                                       
79951017798030410204101480111             9999999999999100823     4276     1768Census Tract 1008.23 (part)                                                                                                                                                
79951017798030410204101480111             9999999999999100910     3777     1410Census Tract 1009.10 (part)                                                                                                                                                
79951017798030410204101480111             9999999999999100919     4671     1868Census Tract 1009.19 (part)                                                                                                                                                
79951017798030410204101480111             9999999999999100924     4354     1571Census Tract 1009.24                                                                                                                                                       
79951017798030410204101480111             9999999999999100928     5077     2332Census Tract 1009.28                                                                                                                                                       
79951017798030410204101480111             9999999999999100929     6206     2411Census Tract 1009.29                                                                                                                                                       
79951017798030410204101480111             9999999999999100930     3508     1191Census Tract 1009.30                                                                                                                                                       
79951017798030410204101480111             9999999999999100931     5383     2096Census Tract 1009.31                                                                                                                                                       
79951017798030410204101480111             9999999999999100932     3508     1261Census Tract 1009.32                                                                                                                                                       
79951017798030410204101480111             9999999999999100934     6316     2530Census Tract 1009.34                                                                                                                                                       
795510177980304103                                              100166    36741Chesterfield County (West)--Brandermill & Woodlake PUMA                                                                                                                    
79651017798030410304101480111                                   100166    36741Chesterfield County (part)                                                                                                                                                 
79851017798030410304101480111             0924802584814          13173     5747Brandermill CDP                                                                                                                                                            
79951017798030410304101480111             0924802584814100912     6205     2510Census Tract 1009.12 (part)                                                                                                                                                
79951017798030410304101480111             0924802584814100927     4118     1700Census Tract 1009.27 (part)                                                                                                                                                
79951017798030410304101480111             0924802584814101007     1204      546Census Tract 1010.07 (part)                                                                                                                                                
79951017798030410304101480111             0924802584814101012     1646      991Census Tract 1010.12 (part)                                                                                                                                                
79851017798030410304101480111             2612802389052           6682     1746Ettrick CDP                                                                                                                                                                
79951017798030410304101480111             2612802389052100600     3893      786Census Tract 1006                                                                                                                                                          
79951017798030410304101480111             2612802389052100701     2789      960Census Tract 1007.01 (part)                                                                                                                                                
79851017798030410304101480111             5013602390133           2403      991Matoaca CDP                                                                                                                                                                
79951017798030410304101480111             5013602390133100701     2356      970Census Tract 1007.01 (part)                                                                                                                                                
79951017798030410304101480111             5013602390133100703       47       21Census Tract 1007.03 (part)                                                                                                                                                
79851017798030410304101480111             8738002629849           7319     2688Woodlake CDP                                                                                                                                                               
79951017798030410304101480111             8738002629849101007     5060     1889Census Tract 1010.07 (part)                                                                                                                                                
79951017798030410304101480111             8738002629849101008     2259      799Census Tract 1010.08 (part)                                                                                                                                                
79851017798030410304101480111             9999999999999          70589    25569Remainder of Chesterfield County (part)                                                                                                                                    
79951017798030410304101480111             9999999999999100507     5834     2128Census Tract 1005.07                                                                                                                                                       
79951017798030410304101480111             9999999999999100508     5041     1905Census Tract 1005.08                                                                                                                                                       
79951017798030410304101480111             9999999999999100701      529      230Census Tract 1007.01 (part)                                                                                                                                                
79951017798030410304101480111             9999999999999100702     2011      793Census Tract 1007.02                                                                                                                                                       
79951017798030410304101480111             9999999999999100703     7322     2791Census Tract 1007.03 (part)                                                                                                                                                
79951017798030410304101480111             9999999999999100821     4673     1724Census Tract 1008.21                                                                                                                                                       
79951017798030410304101480111             9999999999999100822     5084     1942Census Tract 1008.22                                                                                                                                                       
79951017798030410304101480111             9999999999999100912       63       31Census Tract 1009.12 (part)                                                                                                                                                
79951017798030410304101480111             9999999999999100927     3206     1163Census Tract 1009.27 (part)                                                                                                                                                
79951017798030410304101480111             9999999999999100933     2720     1183Census Tract 1009.33                                                                                                                                                       
