79916017797830020005500395661             2035002410289001100     2038      815Census Tract 11 (part)                                                                                                                                                     
79916017797830020005500395661             2035002410289001800      297      102Census Tract 18 (part)                                                                                                                                                     
79816017797830020005500395661             2755002410496            169       77Fernan Lake Village city                                                                                                                                                   
79916017797830020005500395661             2755002410496001600       16        6Census Tract 16 (part)                                                                                                                                                     
79916017797830020005500395661             2755002410496001700      153       71Census Tract 17 (part)                                                                                                                                                     
79816017797830020005500395661             3583002410714            678      326Hauser city                                                                                                                                                                
79916017797830020005500395661             3583002410714000301      678      326Census Tract 3.01 (part)                                                                                                                                                   
79816017797830020005500395661             3637002410721          13294     5563Hayden city                                                                                                                                                                
79916017797830020005500395661             3637002410721000200       18        6Census Tract 2 (part)                                                                                                                                                      
79916017797830020005500395661             3637002410721000700     3815     1391Census Tract 7 (part)                                                                                                                                                      
79916017797830020005500395661             3637002410721001001     5724     2628Census Tract 10.01 (part)                                                                                                                                                  
79916017797830020005500395661             3637002410721001002     2865     1137Census Tract 10.02 (part)                                                                                                                                                  
79916017797830020005500395661             3637002410721001800      872      401Census Tract 18 (part)                                                                                                                                                     
79816017797830020005500395661             3646002410722            574      369Hayden Lake city                                                                                                                                                           
79916017797830020005500395661             3646002410722001001      105       39Census Tract 10.01 (part)                                                                                                                                                  
79916017797830020005500395661             3646002410722001002       93       45Census Tract 10.02 (part)                                                                                                                                                  
79916017797830020005500395661             3646002410722001800      376      285Census Tract 18 (part)                                                                                                                                                     
79816017797830020005500395661             3907002410802            100       48Huetter city                                                                                                                                                               
79916017797830020005500395661             3907002410802000601        7        3Census Tract 6.01 (part)                                                                                                                                                   
79916017797830020005500395661             3907002410802000800       93       45Census Tract 8 (part)                                                                                                                                                      
79816017797830020005500395661             6481002411475          27574    11150Post Falls city                                                                                                                                                            
79916017797830020005500395661             6481002411475000301        0        0Census Tract 3.01 (part)                                                                                                                                                   
79916017797830020005500395661             6481002411475000401     2723     1027Census Tract 4.01 (part)                                                                                                                                                   
79916017797830020005500395661             6481002411475000402     6931     2729Census Tract 4.02 (part)                                                                                                                                                   
79916017797830020005500395661             6481002411475000500     9859     3955Census Tract 5 (part)                                                                                                                                                      
79916017797830020005500395661             6481002411475000601     2391     1007Census Tract 6.01 (part)                                                                                                                                                   
79916017797830020005500395661             6481002411475000602     5653     2422Census Tract 6.02 (part)                                                                                                                                                   
79916017797830020005500395661             6481002411475000700       17       10Census Tract 7 (part)                                                                                                                                                      
79816017797830020005500395661             6634002411521           6826     2561Rathdrum city                                                                                                                                                              
79916017797830020005500395661             6634002411521000301     2241      892Census Tract 3.01 (part)                                                                                                                                                   
79916017797830020005500395661             6634002411521000302     4585     1669Census Tract 3.02 (part)                                                                                                                                                   
79816017797830020005500395661             7606002411953           1945      797Spirit Lake city                                                                                                                                                           
79916017797830020005500395661             7606002411953000100     1945      797Census Tract 1 (part)                                                                                                                                                      
79816017797830020005500395661             7705002411974             38       21State Line city                                                                                                                                                            
79916017797830020005500395661             7705002411974000401       38       21Census Tract 4.01 (part)                                                                                                                                                   
79816017797830020005500395661             9999999999999          35287    16305Remainder of Kootenai County (part)                                                                                                                                        
79916017797830020005500395661             9999999999999000100     4325     2514Census Tract 1 (part)                                                                                                                                                      
