79956017798070020003101605080             3432002412714959100     1147      581Census Tract 9591 (part)                                                                                                                                                   
79856017798070020003101605080             3562502412731             62       45Hartville town                                                                                                                                                             
79956017798070020003101605080             3562502412731959100       62       45Census Tract 9591 (part)                                                                                                                                                   
79856017798070020003101605080             4425202408566             84       37Lakeview North CDP                                                                                                                                                         
79956017798070020003101605080             4425202408566959400       84       37Census Tract 9594 (part)                                                                                                                                                   
79856017798070020003101605080             7129502408746             80       43Slater CDP                                                                                                                                                                 
79956017798070020003101605080             7129502408746959400       80       43Census Tract 9594 (part)                                                                                                                                                   
79856017798070020003101605080             8296702409576             52       25Westview Circle CDP                                                                                                                                                        
79956017798070020003101605080             8296702409576959400       52       25Census Tract 9594 (part)                                                                                                                                                   
79856017798070020003101605080             8304002413476           3627     1879Wheatland town                                                                                                                                                             
79956017798070020003101605080             8304002413476959400     3627     1879Census Tract 9594 (part)                                                                                                                                                   
79856017798070020003101605080             8310002585086             83       44Whiting CDP                                                                                                                                                                
79956017798070020003101605080             8310002585086959400       83       44Census Tract 9594 (part)                                                                                                                                                   
79856017798070020003101605080             8673702409636            195       87Y-O Ranch CDP                                                                                                                                                              
79956017798070020003101605080             8673702409636959400      195       87Census Tract 9594 (part)                                                                                                                                                   
79856017798070020003101605080             9999999999999           2764     1593Remainder of Platte County                                                                                                                                                 
79956017798070020003101605080             9999999999999959100      678      568Census Tract 9591 (part)                                                                                                                                                   
79956017798070020003101605080             9999999999999959400     2086     1025Census Tract 9594 (part)                                                                                                                                                   
79656017798070020004301605085                                     8533     3833Washakie County                                                                                                                                                            
79856017798070020004301605085             7579002413373            260      157Ten Sleep town                                                                                                                                                             
79956017798070020004301605085             7579002413373000200      260      157Census Tract 2 (part)                                                                                                                                                      
79856017798070020004301605085             8492502412308           5487     2473Worland city                                                                                                                                                               
79956017798070020004301605085             8492502412308000200      520      251Census Tract 2 (part)                                                                                                                                                      
79956017798070020004301605085             8492502412308000301     2665     1253Census Tract 3.01                                                                                                                                                          
79956017798070020004301605085             8492502412308000302     2302      969Census Tract 3.02 (part)                                                                                                                                                   
79856017798070020004301605085             9999999999999           2786     1203Remainder of Washakie County                                                                                                                                               
79956017798070020004301605085             9999999999999000200     2546     1088Census Tract 2 (part)                                                                                                                                                      
79956017798070020004301605085             9999999999999000302      240      115Census Tract 3.02 (part)                                                                                                                                                   
79656017798070020004501605086                                     7208     3533Weston County                                                                                                                                                              
79856017798070020004501605086             3772702408389            170       69Hill View Heights CDP                                                                                                                                                      
79956017798070020004501605086             3772702408389951100      170       69Census Tract 9511 (part)                                                                                                                                                   
79856017798070020004501605086             5621502411244           3532     1663Newcastle city                                                                                                                                                             
79956017798070020004501605086             5621502411244951100      254        1Census Tract 9511 (part)                                                                                                                                                   
79956017798070020004501605086             5621502411244951300     3278     1662Census Tract 9513 (part)                                                                                                                                                   
79856017798070020004501605086             5868002409002            208      121Osage CDP                                                                                                                                                                  
79956017798070020004501605086             5868002409002951100      208      121Census Tract 9511 (part)                                                                                                                                                   
79856017798070020004501605086             7912502413414           1100      539Upton town                                                                                                                                                                 
79956017798070020004501605086             7912502413414951100     1100      539Census Tract 9511 (part)                                                                                                                                                   
79856017798070020004501605086             9999999999999           2198     1141Remainder of Weston County                                                                                                                                                 
79956017798070020004501605086             9999999999999951100     1582      854Census Tract 9511 (part)                                                                                                                                                   
