MARPP Real personal income and regional price parities by MSA 1
MARPP Real personal income and regional price parities by MSA 1
Metropolitan Statistical Area
GeoFIPS,GeoName,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",94.880,93.277,94.148,91.983,93.252,93.207,92.501,91.498,90.807,91.097,91.978,91.990,91.615,91.343,88.753,89.274
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",96.081,94.673,94.285,93.183,93.144,93.637,93.538,92.666,92.784,91.849,92.769,92.479,91.826,92.305,91.460,92.289
19460,"Decatur, AL (Metropolitan Statistical Area)",89.767,85.157,88.758,90.511,88.207,90.708,87.262,90.209,89.194,88.956,87.249,84.353,87.140,86.166,87.418,90.096
19500,"Decatur, IL (Metropolitan Statistical Area)",91.086,91.840,89.483,91.628,93.058,89.685,90.340,88.949,89.035,85.950,89.790,89.536,88.290,89.485,87.344,86.604
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",98.581,96.604,96.081,97.941,97.516,97.087,97.603,98.150,98.229,98.232,97.083,95.758,96.683,97.803,98.801,98.742
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",105.770,103.297,101.905,104.962,105.127,104.930,104.839,105.052,105.177,104.338,102.427,104.394,109.342,109.056,107.345,105.490
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",95.222,97.238,95.361,94.497,95.533,95.802,96.020,94.668,94.721,93.901,95.568,95.618,93.805,93.402,92.061,92.659
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",100.574,100.162,99.390,98.542,97.903,98.397,98.675,96.821,96.203,95.760,97.192,98.438,98.328,96.362,96.295,98.007
20020,"Dothan, AL (Metropolitan Statistical Area)",86.724,85.597,87.650,88.026,88.537,89.036,88.082,87.256,88.251,86.353,84.957,85.790,86.540,86.070,85.255,88.318
20100,"Dover, DE (Metropolitan Statistical Area)",96.709,98.015,98.417,98.236,97.299,97.705,98.558,97.404,100.268,96.740,94.904,95.210,93.875,95.856,95.071,91.652
20220,"Dubuque, IA (Metropolitan Statistical Area)",93.518,92.737,91.833,91.431,91.858,92.516,92.831,91.393,91.304,91.492,90.507,89.942,89.763,88.139,86.374,89.056
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",88.822,92.540,88.909,90.620,90.373,88.019,89.021,89.951,88.098,85.995,90.472,89.914,82.950,88.818,88.444,86.980
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",96.285,95.292,96.416,96.913,96.109,96.695,96.962,96.915,96.505,96.243,95.368,94.336,94.285,95.995,96.482,96.638
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",101.872,100.385,100.611,98.620,96.655,100.600,100.255,97.942,97.023,101.531,98.241,100.368,98.395,97.593,94.231,95.656
20740,"Eau Claire, WI (Metropolitan Statistical Area)",96.695,94.440,94.482,94.397,94.799,93.624,94.071,92.387,91.663,91.135,93.091,92.778,92.210,91.915,91.145,91.405
20940,"El Centro, CA (Metropolitan Statistical Area)",95.315,96.278,95.235,94.843,94.036,94.332,91.846,94.540,95.746,95.951,92.849,96.359,96.904,95.567,100.021,100.080
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",90.032,88.156,90.552,91.987,88.762,89.709,90.415,89.183,88.866,87.294,87.262,88.966,88.005,87.611,88.903,89.386
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",96.669,94.154,92.935,93.624,92.651,91.341,92.227,92.185,90.190,90.999,92.389,91.445,91.021,87.699,91.626,92.573
21300,"Elmira, NY (Metropolitan Statistical Area)",95.918,96.984,96.496,97.856,94.506,98.977,97.787,97.764,95.445,97.839,96.098,95.644,95.303,94.594,92.809,92.201
21340,"El Paso, TX (Metropolitan Statistical Area)",92.447,92.636,94.519,95.742,95.563,94.735,94.084,93.974,95.156,94.713,91.457,91.638,92.731,92.831,90.927,90.241
21420,"Enid, OK (Metropolitan Statistical Area) *",(NA),(NA),(NA),(NA),(NA),89.942,89.602,90.619,92.068,91.705,87.962,86.074,86.775,86.927,85.548,86.142
21500,"Erie, PA (Metropolitan Statistical Area)",96.549,93.553,94.712,93.954,95.330,96.301,93.881,94.718,95.522,96.658,94.561,93.887,92.816,91.846,90.629,91.516
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",96.329,100.008,97.847,100.911,100.473,99.089,98.636,97.662,97.907,99.565,102.179,101.523,100.554,100.771,104.647,103.481
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",93.396,93.992,92.492,92.243,92.436,91.289,91.188,90.269,90.457,90.417,89.687,91.261,89.529,90.151,88.917,89.763
21820,"Fairbanks, AK (Metropolitan Statistical Area)",104.749,102.767,102.204,102.687,97.953,97.716,101.285,100.597,100.421,103.926,104.558,103.085,99.390,104.487,98.655,99.362
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",97.383,94.972,95.383,94.444,96.006,95.355,92.659,94.583,95.528,93.829,93.092,95.008,92.452,92.554,87.961,89.410
22140,"Farmington, NM (Metropolitan Statistical Area)",95.050,91.145,91.040,90.617,94.842,90.097,94.831,95.367,95.056,97.091,92.111,92.079,89.082,89.320,88.307,86.520
22180,"Fayetteville, NC (Metropolitan Statistical Area)",91.187,89.741,91.821,92.828,92.720,92.740,92.835,91.959,91.110,90.342,90.805,89.125,88.796,91.615,91.083,91.385
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",92.564,91.644,92.435,93.760,94.269,93.808,93.358,93.462,94.300,93.414,90.764,91.680,92.710,92.967,90.826,90.957
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",99.787,100.213,98.357,95.234,99.225,100.535,98.567,102.260,97.680,100.956,97.286,99.380,97.051,95.594,95.489,91.270
22420,"Flint, MI (Metropolitan Statistical Area)",96.009,94.970,94.711,93.190,93.058,93.395,93.152,91.718,90.687,89.504,91.703,92.129,89.840,88.966,90.903,89.833
22500,"Florence, SC (Metropolitan Statistical Area)",84.446,85.198,87.264,88.594,89.598,88.727,88.404,89.853,89.430,88.703,88.140,87.650,86.408,90.524,87.808,87.997
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",83.241,84.190,87.855,85.944,88.605,85.292,87.034,86.317,85.863,86.704,84.016,81.907,82.802,85.425,84.456,85.618
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",83.443,85.948,88.805,87.701,91.041,91.241,90.108,89.659,88.278,87.186,92.253,92.954,91.215,92.182,89.427,92.837
22660,"Fort Collins, CO (Metropolitan Statistical Area)",97.191,103.060,101.262,103.278,104.728,103.207,103.147,101.659,101.343,104.324,100.851,102.222,98.510,97.693,98.198,96.618
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",90.156,87.943,89.524,89.458,89.365,89.572,90.744,88.523,88.799,88.697,85.969,87.743,86.919,87.472,85.845,85.062
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",93.809,92.330,92.797,92.190,92.384,92.998,92.089,91.332,92.237,90.695,91.752,92.286,90.043,91.956,92.752,89.980
23420,"Fresno, CA (Metropolitan Statistical Area)",97.074,101.001,98.912,101.199,100.588,99.347,98.892,97.638,96.655,98.209,102.642,102.548,101.262,101.499,105.140,103.988
23460,"Gadsden, AL (Metropolitan Statistical Area)",86.491,88.321,87.576,88.789,87.612,88.517,89.310,88.211,88.736,87.284,86.008,86.203,85.190,84.442,82.249,87.020
23540,"Gainesville, FL (Metropolitan Statistical Area)",97.119,97.278,96.463,96.972,95.807,96.033,96.858,96.103,95.926,96.138,96.010,93.932,92.730,95.852,96.272,96.895
23580,"Gainesville, GA (Metropolitan Statistical Area)",92.376,89.246,92.918,93.065,92.654,92.777,92.960,92.163,91.311,92.027,94.450,92.338,94.597,94.044,96.832,96.097
23900,"Gettysburg, PA (Metropolitan Statistical Area)",98.466,97.863,98.186,96.545,95.056,97.530,96.050,97.654,99.445,98.067,96.645,96.503,96.516,95.332,95.401,92.724
24020,"Glens Falls, NY (Metropolitan Statistical Area)",98.699,100.533,98.916,97.446,97.416,100.068,94.194,98.143,97.090,97.846,95.482,95.537,94.957,95.379,92.521,93.551
24140,"Goldsboro, NC (Metropolitan Statistical Area)",90.529,90.131,91.110,91.803,89.934,92.770,91.109,91.782,94.106,91.243,90.516,89.554,85.431,90.012,89.285,89.731
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",95.713,92.391,93.420,92.249,89.731,93.840,92.170,93.426,92.260,91.024,91.712,94.120,91.238,89.949,86.813,86.195
24260,"Grand Island, NE (Metropolitan Statistical Area)",81.779,82.255,88.132,89.275,85.011,87.053,83.408,87.391,87.807,83.335,88.156,89.989,90.539,89.131,86.723,87.262
24300,"Grand Junction, CO (Metropolitan Statistical Area)",103.801,98.932,97.579,99.677,97.648,96.359,98.902,98.616,98.886,99.511,93.966,98.544,95.181,92.221,93.757,92.131
24340,"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",96.258,96.317,95.451,94.618,94.863,95.913,95.348,93.713,94.587,92.409,94.113,95.892,94.468,96.472,94.365,95.189
24420,"Grants Pass, OR (Metropolitan Statistical Area)",96.237,94.728,93.947,94.399,96.067,95.288,94.643,96.289,96.233,96.082,99.919,100.201,94.992,98.814,102.753,100.709
24500,"Great Falls, MT (Metropolitan Statistical Area)",85.229,89.237,84.968,91.811,92.282,91.930,92.093,90.059,88.012,90.132,91.764,88.843,86.993,86.923,91.166,92.596
24540,"Greeley, CO (Metropolitan Statistical Area)",101.074,99.532,98.820,99.154,100.681,100.852,101.341,100.476,100.131,99.725,97.915,100.755,97.496,95.274,94.854,95.987
24580,"Green Bay, WI (Metropolitan Statistical Area)",94.703,94.453,95.225,92.975,92.946,93.554,92.760,91.290,92.122,91.421,93.350,92.386,92.055,92.310,90.529,92.064
