79901017797750020008300161567             4235202406007020300      111       45Census Tract 203 (part)                                                                                                                                                    
79801017797750020008300161567             4578402404989           3453     1151Madison city (part)                                                                                                                                                        
79901017797750020008300161567             4578402404989021200     3453     1151Census Tract 212 (part)                                                                                                                                                    
79801017797750020008300161567             5126402406188             53       28Mooresville town                                                                                                                                                           
79901017797750020008300161567             5126402406188021200       53       28Census Tract 212 (part)                                                                                                                                                    
79801017797750020008300161567             9999999999999          54035    22441Remainder of Limestone County                                                                                                                                              
79901017797750020008300161567             9999999999999020101     3777     1583Census Tract 201.01 (part)                                                                                                                                                 
79901017797750020008300161567             9999999999999020102     5123     2134Census Tract 201.02 (part)                                                                                                                                                 
79901017797750020008300161567             9999999999999020201     4637     1939Census Tract 202.01 (part)                                                                                                                                                 
79901017797750020008300161567             9999999999999020202     4523     1832Census Tract 202.02 (part)                                                                                                                                                 
79901017797750020008300161567             9999999999999020300     3472     1639Census Tract 203 (part)                                                                                                                                                    
79901017797750020008300161567             9999999999999020401     5961     3120Census Tract 204.01                                                                                                                                                        
79901017797750020008300161567             9999999999999020402     4278     1787Census Tract 204.02 (part)                                                                                                                                                 
